Country,Year,Developed,Medals,,,,,,,,,
Costa Rica,1976,F,0,,,,,,,,,
Costa Rica,1980,F,0,,,,,,,,,
Costa Rica,1984,F,0,,,,,,,,,
Costa Rica,1988,F,1,,,,,,,,,
Costa Rica,1992,F,0,,,,,,,,,
Costa Rica,1996,F,1,,,,,,,,,
Costa Rica,2000,F,2,,,,,,,,,
Costa Rica,2004,F,0,,,,,,,,,
Costa Rica,2008,F,0,,,,,,,,,
Costa Rica,2012,F,0,,,,,,,,,
Croatia,1948,F,0,,,,,,,,,
Croatia,1952,F,0,,,,,,,,,
Croatia,1956,F,0,,,,,,,,,
Croatia,1960,F,0,,,,,,,,,
Croatia,1964,F,0,,,,,,,,,
Croatia,1968,F,0,,,,,,,,,
Croatia,1972,F,0,,,,,,,,,
Croatia,1976,F,0,,,,,,,,,
Croatia,1980,F,0,,,,,,,,,
Croatia,1984,F,0,,,,,,,,,
Croatia,1988,F,0,,,,,,,,,
Croatia,1992,F,15,,,,,,,,,
Croatia,1996,F,29,,,,,,,,,
Croatia,2000,F,10,,,,,,,,,
Croatia,2004,F,20,,,,,,,,,
Croatia,2008,F,5,,,,,,,,,
Croatia,2012,F,35,,,,,,,,,
Cuba,1948,F,2,,,,,,,,,
Cuba,1952,F,0,,,,,,,,,
Cuba,1956,F,0,,,,,,,,,
Cuba,1960,F,0,,,,,,,,,
Cuba,1964,F,1,,,,,,,,,
Cuba,1968,F,10,,,,,,,,,
Cuba,1972,F,22,,,,,,,,,
Cuba,1976,F,24,,,,,,,,,
Cuba,1980,F,20,,,,,,,,,
Cuba,1984,F,0,,,,,,,,,
Cuba,1988,F,0,,,,,,,,,
Cuba,1992,T,71,,,,,,,,,
Cuba,1996,T,57,,,,,,,,,
Cuba,2000,T,69,,,,,,,,,
Cuba,2004,T,61,,,,,,,,,
Cuba,2008,T,47,,,,,,,,,
Cuba,2012,T,15,,,,,,,,,
Cyprus,1948,F,0,,,,,,,,,
Cyprus,1952,F,0,,,,,,,,,
Cyprus,1956,F,0,,,,,,,,,
Cyprus,1960,T,0,,,,,,,,,
Cyprus,1964,T,0,,,,,,,,,
Cyprus,1968,T,0,,,,,,,,,
Cyprus,1972,T,0,,,,,,,,,
Cyprus,1976,T,0,,,,,,,,,
